Round_Code,Customer_Type,Customer_Detail,Customer_Code,Wait_Time,Food1_Code,Food2_Code,Food3_Code,Food4_Code
1,1,0,1,8,1,0,0,0
1,1,0,2,8,2,0,0,0
1,2,0,3,16,1,1,0,0
1,2,0,4,16,1,2,0,0
1,2,0,5,16,2,1,0,0
1,3,0,6,24,1,1,2,0
1,3,0,7,24,1,2,1,0
1,3,0,8,24,2,1,2,0
1,4,0,9,32,1,1,2,2
1,4,0,10,32,1,2,1,1
1,4,0,11,32,2,1,1,2
2,1,0,12,8,3,0,0,0
2,2,0,13,16,2,3,0,0
2,2,0,14,16,3,1,0,0
2,3,0,15,24,1,2,3,0
2,3,0,16,24,3,1,1,0
2,3,0,17,24,1,3,2,0
2,4,0,18,32,1,2,3,3
2,4,0,19,32,1,1,3,1
2,4,0,20,32,3,2,3,2
3,1,0,21,8,4,0,0,0
3,2,0,22,16,4,1,0,0
3,2,0,23,16,2,4,0,0
3,2,0,24,16,4,3,0,0
3,3,0,25,24,4,1,2,0
3,3,0,26,24,1,3,4,0
3,3,0,27,24,2,4,3,0
3,3,0,28,24,4,4,1,0
3,4,0,29,32,1,2,3,4
3,4,0,30,32,4,3,3,1
3,4,0,31,32,4,1,4,2
3,4,0,32,32,2,4,3,3
3,4,0,33,32,4,3,3,2
3,4,0,34,32,4,4,2,1
4,1,0,35,8,5,0,0,0
4,2,0,36,16,5,1,0,0
4,2,0,37,16,2,5,0,0
4,2,0,38,16,3,5,0,0
4,2,0,39,16,4,5,0,0
4,3,0,40,24,5,1,2,0
4,3,0,41,24,3,5,1,0
4,3,0,42,24,4,3,5,0
4,3,0,43,24,3,5,2,0
4,3,0,44,24,5,2,4,0
4,3,0,45,24,1,5,4,0
4,4,0,46,32,5,1,3,4
4,4,0,47,32,3,5,4,2
4,4,0,48,32,1,2,5,3
4,4,0,49,32,4,1,3,5
4,4,0,50,32,3,4,5,2
3,1,1,51,6,1,0,0,0
3,1,1,52,6,2,0,0,0
3,1,1,53,6,5,0,0,0
3,2,1,54,12,1,1,0,0
3,2,1,55,12,2,3,0,0
4,1,1,56,6,3,0,0,0
4,2,1,57,12,3,4,0,0
4,3,1,58,18,1,2,3,0
4,3,1,59,18,4,5,2,0
4,4,1,60,24,3,2,1,3
5,1,1,61,6,4,0,0,0
5,2,1,62,12,3,4,0,0
5,2,1,63,12,5,2,0,0
5,2,1,64,12,4,5,0,0
5,4,1,65,24,1,5,3,4
6,3,1,66,18,3,2,1,0
6,4,1,67,24,4,1,2,3
7,3,1,68,18,5,4,3,0
7,4,1,69,24,4,5,3,1
8,4,1,70,24,3,2,1,0
8,4,1,71,24,4,5,2,1
